score,churn,loc,max_cc,coverage%,file
27.1,21,378,20,55,app/host/cqrs_wiring.py
23.1,16,271,37,81,services/assist/service.py
22.8,3,343,112,52,runtimes/mcp/assist/shape/result.py
19.5,5,430,49,41,services/assist/catalog/menu.py
17.0,20,871,8,35,runtimes/mcp/in_process.py
16.6,9,243,44,78,runtimes/cli/commands/doctor.py
15.7,13,992,24,70,runtimes/server/surfaces/ssr/explorer/components.py
15.3,6,476,62,79,runtimes/cli/commands/dashboard.py
15.2,38,1170,11,84,app/host/application_host.py
15.0,10,434,32,73,runtimes/server/surfaces/websocket/session.py
14.9,4,399,49,44,services/assist/catalog/open.py
14.7,12,295,34,84,common/operator/compact.py
14.0,15,475,9,26,runtimes/mcp/rest_client.py
11.1,14,941,20,80,runtimes/server/surfaces/ssr/explorer/forms.py
10.6,6,202,42,78,runtimes/cli/tui/display.py
9.8,3,203,31,15,runtimes/cli/tui/completion.py
9.3,3,105,40,43,runtimes/cli/shared/dispatch.py
8.4,13,400,9,56,runtimes/server/surfaces/ssr/explorer/actions.py
7.8,14,385,16,85,common/runtimes/server/cqrs.py
7.4,1,107,65,6,runtimes/mcp/assist/rest_map.py
7.2,5,92,29,70,common/operator/collection_input.py
7.1,8,279,25,85,services/execution/flows/service.py
7.0,7,726,18,64,app/host/inbound_service.py
6.3,9,273,18,81,services/assist/schemas.py
6.2,7,207,34,94,core/context/state_schema.py
